name,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag,sample_index,predicted_class,confidence,entropy,variation_ratio,mean_prob,std_prob,mean_probs,std_probs
4521,8.1,0.15,31.0,0.08,3,2015-2017,M-v,38h,,,2015 VP170,2460800.5,318.04887,37.05726,80.49658,5.91458,0.1335788,0.0031119,46.4642266,MPO458706,3,MPCLINUX,000A,2017-12-13,2474281.37342,316.7218817,40.257591,52.6708622,22.8175758,1.0031673,Distant Object,,,,,,,3978,1,0.99727416,0.018818598,0.0,0.50000006,0.0012509967,"[0.002725931815803051, 0.9972741603851318]","[0.0012509943917393684, 0.0012509990483522415]"
4522,8.7,0.15,35.0,0.07,3,2014-2017,M-v,38h,,,2015 VQ170,2460800.5,342.60771,38.82361,51.18805,10.55653,0.1483737,0.00350877,42.8910003,MPO458707,3,MPCLINUX,000A,2017-01-27,2465757.40427,280.898398,36.5271039,49.2548967,20.9733827,1.0035727,Distant Object,,,,,,,3979,1,0.9982866,0.012624448,0.0,0.49999994,0.00079448894,"[0.0017132890643551946, 0.9982866048812866]","[0.0007944884710013866, 0.0007944894605316222]"
4523,8.5,0.15,39.0,0.08,3,2015-2017,M-v,38h,,,2015 VR170,2460800.5,99.85919,265.39874,53.14408,1.60994,0.0365676,0.00342468,43.5902188,MPO458707,3,MPCLINUX,000A,2017-12-13,2431641.12664,287.795218,41.9962291,45.1842085,21.7659652,1.0034868,Distant Object,,,,,,,3980,1,0.99789244,0.015093869,0.0,0.5000001,0.0009509596,"[0.0021078065037727356, 0.997892439365387]","[0.0009509578812867403, 0.0009509613155387342]"
4524,8.5,0.15,25.0,0.08,3,2015-2017,M-v,38h,,,2015 VS170,2460800.5,40.41943,331.41349,50.24342,18.13684,0.0255615,0.00365556,41.7349676,MPO458707,3,MPCLINUX,000A,2017-12-16,2449743.34503,269.6187687,40.6681592,42.801776,20.8538492,1.0037227,Distant Object,,,,,,,3981,1,0.99786156,0.015282559,0.0,0.5,0.00092481694,"[0.002138434210792184, 0.9978615641593933]","[0.000924818217754364, 0.0009248155984096229]"
4525,8.0,0.15,39.0,0.06,3,2015-2017,M-v,38h,,,2015 VT170,2460800.5,119.41267,51.10192,249.85505,1.15067,0.021234,0.00340615,43.7481781,MPO458707,3,MPCLINUX,000A,2017-12-16,2425742.0255,289.3609737,42.8192293,44.6771269,21.8642264,1.0034679,Distant Object,,,,,,,3982,1,0.99801576,0.014329163,0.0,0.5,0.0008801342,"[0.001984225120395422, 0.9980157613754272]","[0.0008801306248642504, 0.0008801377261988819]"
4526,8.9,0.15,29.0,0.1,3,2015-2017,M-v,38h,,,2015 VU170,2460800.5,285.50393,92.39016,48.9446,1.84368,0.0334553,0.00349171,43.0305891,MPO458707,3,MPCLINUX,000A,2017-09-20,2482135.6863,282.2707893,41.5909878,44.4701904,21.4912134,1.0035553,Distant Object,,,,,,,3983,1,0.9982416,0.012910231,0.0,0.49999994,0.00087922736,"[0.0017582564614713192, 0.9982416033744812]","[0.0008792263688519597, 0.0008792283479124308]"
4527,8.8,0.15,33.0,0.11,3,2015-2017,M-v,38h,,,2015 VV170,2460800.5,79.9762,308.76302,31.06829,0.91222,0.0285818,0.00343138,43.5335126,MPO458707,3,MPCLINUX,000A,2017-09-15,2437492.65749,287.2338146,42.2892464,44.7777788,21.7489746,1.0034936,Distant Object,,,,,,,3984,1,0.9978617,0.015281869,0.0,0.5,0.0010609529,"[0.0021383229177445173, 0.9978616833686829]","[0.0010609537130221725, 0.0010609521996229887]"
4528,7.97,0.15,39.0,0.14,3,2015-2024,M-v,3Ek,,,2015 VW170,2460800.5,75.53007,110.24243,231.90211,1.03198,0.039597,0.00314868,46.1016877,E2025-NA0,4,Veres,000A,2024-12-31,2436812.03846,313.02227,44.2761992,47.9271762,23.0147019,1.0032049,Distant Object,,,,,,,3985,1,0.997303,0.01864731,0.0,0.49999997,0.0014295449,"[0.0026969071477651596, 0.9973030090332031]","[0.0014295466244220734, 0.0014295431319624186]"
4529,8.6,0.15,26.0,0.1,3,2015-2017,M-v,38h,,,2015 VX170,2460800.5,320.66274,59.24083,48.55232,2.64296,0.0720132,0.00305519,47.0374484,MPO458708,3,MPCLINUX,000A,2017-09-20,2473676.43205,322.6009429,43.6501312,50.4247656,23.3967584,1.0031094,Distant Object,,,,,,,3986,1,0.9970911,0.019892149,0.0,0.49999997,0.0023413615,"[0.002908813301473856, 0.9970911145210266]","[0.002341360319405794, 0.0023413626477122307]"
4530,7.5,0.15,32.0,0.06,3,2015-2017,M-v,38h,,,2015 VY170,2460800.5,41.13671,337.05577,43.84792,1.76614,0.0242415,0.00343577,43.4963724,MPO458708,3,MPCLINUX,000A,2017-09-20,2448827.18743,286.8663168,42.4419551,44.5507897,21.7354059,1.0034981,Distant Object,,,,,,,3987,1,0.9980146,0.014336428,0.0,0.5,0.00080946926,"[0.0019853997509926558, 0.9980146288871765]","[0.0008094650693237782, 0.0008094733930192888]"
4531,8.3,0.15,34.0,0.08,3,2015-2017,M-v,38h,,,2015 VZ170,2460800.5,103.7446,253.09538,56.68621,4.18043,0.0835718,0.003313,44.5644468,MPO458708,3,MPCLINUX,000A,2017-12-13,2429486.10217,297.4971295,40.8401158,48.2887778,22.1265989,1.0033727,Distant Object,,,,,,,3988,1,0.9980073,0.014383171,0.0,0.5000001,0.0008586142,"[0.0019929527770727873, 0.9980072975158691]","[0.0008586131734773517, 0.0008586153271608055]"
4532,8.9,0.15,30.0,0.11,3,2014-2017,M-v,38h,,,2015 VA171,2460800.5,68.46286,160.95299,189.11819,1.20516,0.0390959,0.00346505,43.2510457,MPO458708,4,MPCLINUX,000A,2017-12-16,2441042.09885,284.4427823,41.5601071,44.9419843,21.5924685,1.003528,Distant Object,,,,,,,3989,1,0.99816126,0.01341962,0.0,0.50000006,0.00086003065,"[0.0018389177275821567, 0.998161256313324]","[0.0008600308210588992, 0.0008600305300205946]"
4533,7.7,0.15,31.0,0.07,4,2015-2017,M-v,38h,,,2015 VB171,2460800.5,161.9189,172.54136,83.63869,2.38447,0.0722145,0.00336397,44.1131189,MPO458708,3,MPCLINUX,000A,2017-12-16,2412666.22134,292.9892235,40.9275121,47.2987257,21.9415359,1.0034248,Distant Object,,,,,,,3990,1,0.99805176,0.014106492,0.0,0.5000001,0.00087850506,"[0.0019485302036628127, 0.9980517625808716]","[0.0008785036043263972, 0.0008785065729171038]"
4534,8.4,0.15,28.0,0.08,3,2015-2017,M-v,38h,,,2015 VC171,2460800.5,319.86526,40.04699,67.5432,3.58616,0.059787,0.00328937,44.7775709,MPO458709,3,MPCLINUX,000A,2017-12-16,2473002.1052,299.6337953,42.1004543,47.4546875,22.3087571,1.0033486,Distant Object,,,,,,,3991,1,0.9975445,0.0172085,0.0,0.5,0.0013300304,"[0.002455480396747589, 0.997544527053833]","[0.0013300287537276745, 0.0013300320133566856]"
4535,8.5,0.15,29.0,0.09,4,2015-2017,M-v,38h,,,2015 VD171,2460800.5,343.90231,229.88892,214.22128,2.78461,0.1139446,0.00306486,46.9384659,MPO458709,3,MPCLINUX,000A,2017-12-16,2466052.94388,321.5831886,41.5900812,52.2868506,23.1645232,1.0031193,Distant Object,,,,,,,3992,1,0.9971735,0.019411745,0.0,0.5000001,0.0011418,"[0.0028267684392631054, 0.9971734881401062]","[0.0011417978676036, 0.0011418020585551858]"
4536,8.0,0.15,36.0,0.09,4,2015-2017,M-v,38h,,,2015 VE171,2460800.5,240.38455,107.38298,81.39916,1.82302,0.0851607,0.00334347,44.2932462,MPO458709,3,MPCLINUX,000A,2017-12-16,2496577.0897,294.7856005,40.5212023,48.0652901,21.9860082,1.0034038,Distant Object,,,,,,,3993,1,0.99800473,0.014398081,0.0,0.5,0.0008673618,"[0.0019953204318881035, 0.9980047345161438]","[0.0008673608535900712, 0.0008673627162352204]"
4537,7.9,0.15,29.0,0.06,4,2015-2017,M-v,38h,,,2015 VF171,2460800.5,350.21617,22.41419,54.94302,18.08511,0.1041382,0.00348921,43.0511583,MPO458709,3,MPCLINUX,000A,2017-12-13,2463604.53244,282.4732073,38.5678882,47.5344284,21.2921393,1.0035527,Distant Object,,,,,,,3994,1,0.9978943,0.015080544,0.0,0.49999994,0.0012556252,"[0.0021055827382951975, 0.997894287109375]","[0.0012556224828585982, 0.0012556278379634023]"
4538,8.9,0.15,27.0,0.11,4,2015-2017,M-v,38h,,,2015 VG171,2460800.5,196.35916,167.55198,59.13925,6.09457,0.0119267,0.0035073,42.9029535,MPO458709,3,MPCLINUX,000A,2017-12-13,2507457.7121,281.0158306,42.3912628,43.4146442,21.4484254,1.0035712,Distant Object,,,,,,,3995,1,0.99799234,0.014476413,0.0,0.5000002,0.000825202,"[0.002007971052080393, 0.9979923367500305]","[0.0008251999970525503, 0.0008252038969658315]"
