Name,a,e,i,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy
Alicanto,349.5648898,0.8645243,25.49375,0,0.9999991,8.198381e-06,1.3803988e-05
,370.2474327,0.8847013,4.80364,0,0.9999988,9.922559e-06,1.8153321e-05
,424.4503213,0.9886076,76.85331,0,0.9999981,1.283451e-05,2.6395714e-05
,332.6299937,0.8852223,6.49973,0,0.99999803,8.750814e-06,2.840076e-05
,390.771497,0.9874136,156.10829,0,0.9999979,1.6782551e-05,2.913314e-05
,460.7532431,0.9592801,47.19209,0,0.99999726,2.687149e-05,3.7380352e-05
,369.2325619,0.9052256,23.51367,0,0.9999971,2.6972406e-05,4.0076444e-05
,388.6914794,0.9069805,29.48385,0,0.999996,3.914508e-05,5.3305266e-05
,362.4438509,0.9092445,11.91093,0,0.9999958,3.0993913e-05,5.621467e-05
,375.613607,0.9298582,38.6291,0,0.9999888,0.000111828114,0.00013985437
,317.0020569,0.9960237,108.29245,0,0.9999884,6.840336e-05,0.00014287398
,344.1047524,0.9888511,68.22849,0,0.99998355,0.000114789465,0.00019815612
,274.7733152,0.9906692,29.74705,0,0.9999825,8.842518e-05,0.00020931344
,302.7234165,0.9687393,140.80774,0,0.99997544,0.00012307512,0.00028586897
,307.7174432,0.8843136,24.84629,0,0.9999686,0.0001676745,0.0003578162
,352.5398554,0.8626903,21.54844,0,0.99996597,0.00033815892,0.00038405615
,493.4183991,0.9283671,54.09199,0,0.99994856,0.000510828,0.00055881584
,387.9703204,0.9081519,42.94217,0,0.99994814,0.000515251,0.0005638531
,305.7098177,0.8745915,8.81096,0,0.999928,0.0007058782,0.00075890194
,292.1693423,0.8535652,24.1494,0,0.9999232,0.0005228293,0.00080482493
,273.5119504,0.8558153,6.83866,0,0.9998994,0.0009532219,0.0010269035
,271.4867256,0.7030436,23.99696,0,0.99989426,0.0006803133,0.0010740369
,245.4634821,0.7316711,11.00882,0,0.99988663,0.0006166915,0.0011442757
,359.9593698,0.9107104,15.81892,0,0.99985385,0.0012503755,0.0014366978
,327.7080333,0.9861949,84.78504,0,0.99984133,0.0014385111,0.001547784
,314.5110004,0.892096,12.91557,0,0.999828,0.0016447852,0.0016626825
,311.8442336,0.8480074,17.95145,0,0.99974364,0.0016832649,0.002375985
,279.3220312,0.9933583,152.01696,0,0.999666,0.0027059193,0.0030074166
,251.6113596,0.9876947,143.49436,0,0.9996156,0.0029683013,0.0034065794
,277.1171736,0.9888216,110.0788,0,0.99955636,0.0042249733,0.003868712
,257.9472154,0.8481887,21.51861,0,0.99952346,0.004403838,0.0041213213
,264.2656942,0.9365729,84.80009,0,0.999429,0.0025507933,0.0048348736
,205.2310315,0.8317014,12.77665,0,0.9994111,0.0023354522,0.004968969
,227.3067221,0.8061542,22.72327,0,0.99884367,0.0072356216,0.008974757
,248.3968736,0.8352853,15.68166,0,0.9988283,0.010107762,0.009079554
,247.5113904,0.8855706,17.15259,0,0.998821,0.011439856,0.009128407
,283.1251426,0.846301,17.41277,0,0.99879193,0.01106868,0.009323716
,248.9592785,0.8589583,13.21195,0,0.998676,0.0076064565,0.010097306
,305.2459807,0.8537423,8.47482,0,0.99845034,0.013205776,0.011574634
,213.5467607,0.8314537,14.91069,0,0.9984223,0.01155818,0.011755267
,261.0344654,0.9559999,175.97659,0,0.9979997,0.018580912,0.01442899
,404.5012711,0.9306545,6.93998,0,0.99687487,0.031092927,0.021147106
,196.4449065,0.7981814,16.79727,0,0.99676955,0.01358045,0.02175183
,211.745316,0.838519,30.8146,0,0.99660826,0.015253051,0.02267284
,201.6139077,0.8248347,14.19782,0,0.996557,0.013021746,0.022963785
,192.1990296,0.8263625,15.31196,0,0.99614656,0.015083572,0.02526653
,180.7645866,0.805997,26.06461,0,0.9960582,0.010084785,0.025756162
