name,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy,variation_ratio,prob_mean_c0,prob_std_c0,prob_mean_c1,prob_std_c1
45,7.03,0.15,79.0,0.2,4,1999-2020,M-v,3Ek,(38083),Rhadamanthus,1999 HX11,2460800.5,113.61765,79.3579,10.02575,12.76528,0.1571743,0.00406817,38.8630381,MPO692208,16,Pan,000A,2020-04-21,2432871.57741,242.2730588,32.7547673,44.9713089,18.9514875,1.0041447,Distant Object,,,,,,,1,0.99196017,0.0068416498,0.04678658,0.0,0.008039899,0.006841649,0.99196017,0.0068416498
46,7.06,0.15,247.0,0.58,2,1999-2024,M-v,3Ek,(38084),,1999 HB12,2460800.5,5.56328,66.37798,166.45056,13.15292,0.4103062,0.00240367,55.1932798,E2024-H23,20,MPCLINUX,000A,2024-04-17,2458485.93851,410.0429067,32.5471349,77.8394247,22.9507131,1.0024447,Distant Object,,,,,,,1,0.9791487,0.017129103,0.10133402,0.0,0.020851307,0.017129103,0.9791487,0.017129103
47,4.79,0.15,864.0,0.76,1,1996-2025,M-v,3Ek,(38628),Huya,2000 EB173,2460800.5,15.17632,67.58799,169.34428,15.47616,0.2724599,0.00401577,39.2003478,E2025-O08,26,MPCLINUX,000A,2025-07-15,2457021.25354,245.4340876,28.519825,49.8808706,18.1451668,1.0040911,Distant Object,,,,,,,1,0.9914853,0.0073595345,0.049059175,0.0,0.008514726,0.007359531,0.9914853,0.0073595345
48,5.6,0.15,473.0,0.65,3,1999-2025,M-v,3Ek,(40314),,1999 KR16,2460800.5,354.70217,58.92474,205.69713,24.84287,0.2997516,0.00292131,48.4638204,E2025-N09,23,MPCLINUX,000A,2025-07-01,2462614.01795,337.3855436,33.9367127,62.9909281,22.0546483,1.0029728,Distant Object,,,,,,,1,0.9862435,0.010349599,0.07262494,0.0,0.013756428,0.010349603,0.9862435,0.010349599
49,4.14,0.15,380.0,0.74,1,1982-2024,M-v,3Ek,(42301),,2001 UR163,2460800.5,84.92799,343.8015,302.34674,0.75115,0.280431,0.00264054,51.8410947,MPO887846,25,MPCLINUX,000A,2024-12-26,2428636.89841,373.2598228,37.3032447,66.3789447,23.8821154,1.0026863,Distant Object,,,,,,,1,0.9798015,0.02237848,0.0988107,0.0,0.020198515,0.022378482,0.9798015,0.02237848
50,7.63,0.15,465.0,0.68,0,1989-2025,M-v,3Ek,(42355),Typhon,2002 CR46,2460800.5,29.65727,158.64636,351.89414,2.42878,0.5359908,0.00426736,37.6440447,E2025-N01,28,MPCLINUX,000A,2025-06-30,2453850.60897,230.9640682,17.4671831,57.8209063,13.4147162,1.0043485,Distant Object,,,,,,,1,0.9916205,0.00713823,0.04841475,0.0,0.0083794845,0.007138235,0.9916205,0.00713823
51,7.07,0.15,993.0,0.76,0,1999-2025,M-v,3Ek,(44594),,1999 OX3,2460800.5,2.32932,144.50217,259.1762,2.62008,0.4615551,0.00527265,32.6926493,MPO914629,24,MPCLINUX,000A,2025-03-19,2460358.72175,186.9283505,17.6031903,47.7821083,12.8640163,1.0053784,Distant Object,,,,,,,1,0.9929341,0.0060839686,0.042034794,0.0,0.007065959,0.0060839755,0.9929341,0.0060839686
52,7.87,0.15,20.0,0.18,4,1999-2022,M-v,3Ek,(45802),,2000 PV29,2460800.5,103.04596,59.34023,173.20301,1.179,0.009426,0.00343933,43.4663632,E2022-N78,5,MPCLINUX,000A,2022-07-04,2430839.18229,286.569494,43.0566493,43.8760771,21.7312506,1.0035018,Distant Object,,,,,,,1,0.98923767,0.0101512065,0.059476018,0.0,0.010762364,0.010151208,0.98923767,0.0101512065
53,4.93,0.15,902.0,0.8,0,1974-2025,M-v,3Ek,(47171),Lempo,1999 TC36,2460800.5,13.84109,295.7482,97.16532,8.40351,0.2308144,0.00393057,39.7648056,MPO901696,25,MPCLINUX,000A,2025-02-14,2457279.04217,250.7542459,30.5865159,48.9430953,18.8231621,1.0040039,Distant Object,,,,,,,1,0.9915993,0.007702937,0.048515648,0.0,0.008400625,0.0077029387,0.9915993,0.007702937
54,6.28,0.15,231.0,0.7,1,1989-2019,M-v,3Ek,(47932),,2000 GN171,2460800.5,22.76833,194.64756,26.154,10.82364,0.2777692,0.0040266,39.1300189,MPO692394,20,Pan,000A,2019-02-04,2455146.01979,244.7738881,28.2609049,49.9991329,18.0554569,1.0041022,Distant Object,,,,,,,1,0.991002,0.0064529437,0.051344756,0.0,0.0089980075,0.00645294,0.991002,0.0064529437
55,4.85,0.15,334.0,0.8,1,1995-2024,M-v,3Ek,(48639),,1995 TL8,2460800.5,49.42179,85.80562,260.7701,0.24186,0.2397009,0.00255583,52.9803769,MPO887922,22,MPCLINUX,000A,2024-12-26,2441463.38833,385.6315565,40.2809329,65.6798209,24.9681544,1.0025999,Distant Object,,,,,,,1,0.9772386,0.02959397,0.108599715,0.0,0.022761414,0.029593969,0.9772386,0.02959397
57,7.61,0.15,43.0,0.16,5,1999-2022,M-v,3El,(49673),,1999 RA215,2460800.5,317.99274,269.63967,132.35875,22.54322,0.1072895,0.0034627,43.2705626,MPO711008,12,MPCLINUX,000A,2022-08-27,2472931.85992,284.6353349,38.6280856,47.9130396,21.3862368,1.0035257,Distant Object,,,,,,,1,0.98964006,0.008027252,0.05764901,0.0,0.010359931,0.008027264,0.98964006,0.008027252
58,2.41,0.15,697.0,0.73,1,1954-2025,M-v,3Ek,(50000),Quaoar,2002 LM60,2460800.5,290.96617,163.78626,189.00522,7.99125,0.0366422,0.00347567,43.1628743,E2025-L46,33,MPCLINUX,000A,2025-06-05,2480662.92088,283.57343,41.5812916,44.744457,21.5524608,1.0035389,Distant Object,,,,,,,1,0.98821557,0.009517481,0.06404921,0.0,0.01178446,0.009517483,0.98821557,0.009517481
59,7.78,0.15,22.0,0.22,5,1998-2004,M-v,3Ek,(52747),,1998 HM151,2460800.5,321.95739,252.17163,63.88839,0.54456,0.0569113,0.00335411,44.1995549,MPO692485,6,Pan,000A,2004-05-27,2472142.62158,293.8507773,41.6841008,46.715009,22.0281986,1.0034147,Distant Object,,,,,,,1,0.98673964,0.015973203,0.070496164,0.0,0.013260325,0.015973201,0.98673964,0.015973203
62,6.71,0.15,120.0,0.97,3,1999-2020,M-v,3Ek,(53311),Deucalion,1999 HU11,2460800.5,306.97199,245.0149,51.30465,0.36663,0.0589449,0.00339382,43.8541199,MPO692495,15,Pan,000A,2020-06-24,2476425.46611,290.4126966,41.2691432,46.4390966,21.8508744,1.0034553,Distant Object,,,,,,,1,0.9853799,0.012827774,0.07628794,0.0,0.014620117,0.012827775,0.9853799,0.012827774
63,7.99,0.15,24.0,0.35,4,1999-2002,M-v,3Ek,(54520),,2000 PJ30,2460800.5,14.03797,303.56477,293.38598,5.71872,0.7654313,0.00073015,122.1407287,MPO692518,4,Pan,000A,2002-08-09,2441573.03801,1349.8663153,28.6503919,215.6310655,25.2901494,1.0007414,Distant Object,['1999 OO4'],,,,,,0,0.8789144,0.18650727,0.36908248,0.0,0.8789144,0.18650727,0.12108569,0.18650727
65,3.44,0.15,569.0,0.55,2,1997-2025,M-v,3Ek,(55565),Aya,2002 AW197,2460800.5,301.98812,295.15614,297.38898,24.34845,0.1268259,0.00303754,47.2195337,MPO914730,24,MPCLINUX,000A,2025-04-04,2479899.06132,324.4759712,41.2308738,53.2081936,23.2300083,1.0030914,Distant Object,,,,,,,1,0.9861676,0.009794181,0.07294913,0.0,0.013832377,0.009794182,0.9861676,0.009794181
67,3.5,0.15,1000.0,0.68,1,1954-2025,M-v,3Ek,(55636),,2002 TX300,2460800.5,81.34809,343.24223,324.63798,25.85428,0.1217358,0.00343175,43.5303519,MPO888017,29,MPCLINUX,000A,2025-01-12,2437095.60447,287.2025338,38.2311497,48.8295541,21.4426246,1.003494,Distant Object,,,,,,,1,0.98861015,0.0075317435,0.06229441,0.0,0.011389771,0.0075317463,0.98861015,0.0075317435
68,3.83,0.15,717.0,0.79,2,1991-2025,M-v,3Ek,(55637),,2002 UX25,2460800.5,309.4962,275.26816,204.57503,19.40084,0.1462074,0.00349486,43.0047672,MPO901795,26,MPCLINUX,000A,2025-02-17,2475251.62739,282.0167488,36.717152,49.2923824,21.0427357,1.0035585,Distant Object,,,,,,,1,0.9876911,0.008351648,0.06636024,0.0,0.012308857,0.0083516445,0.9876911,0.008351648
69,5.59,0.15,386.0,0.61,1,1990-2024,M-v,3Ek,(55638),,2002 VE95,2460800.5,33.58517,207.89493,199.71591,16.3245,0.2929142,0.00395022,39.6328397,MPO914731,23,MPCLINUX,000A,2024-02-11,2452298.3558,249.5070297,28.0238182,51.2418612,18.1161962,1.004024,Distant Object,,,,,,,1,0.99026704,0.0062819924,0.054770578,0.0,0.009732893,0.006281992,0.99026704,0.0062819924
70,6.87,0.15,116.0,0.8,3,1997-2024,M-v,3Ek,(58534),Logos,1997 CQ29,2460800.5,71.06969,335.34217,132.5369,2.89738,0.1223477,0.00324758,45.1609121,E2024-H69,19,MPCLINUX,000A,2024-04-14,2438916.0689,303.4897703,39.6355784,50.6862458,22.2424501,1.0033059,Distant Object,,,,,,,1,0.9861071,0.012501684,0.07320726,0.0,0.013892914,0.012501687,0.9861071,0.012501684
71,6.91,0.15,168.0,0.45,2,1999-2024,M-v,3Ek,(59358),,1999 CL158,2460800.5,57.95802,328.26198,120.01122,10.01912,0.2105281,0.00368411,41.5190483,E2024-H69,19,MPCLINUX,000A,2024-04-14,2445068.56547,267.5291348,32.7781219,50.2599747,19.8394188,1.0037519,Distant Object,,,,,,,1,0.9907539,0.0072285715,0.052508324,0.0,0.009246232,0.007228577,0.9907539,0.0072285715
72,6.74,0.15,113.0,1.0,3,2000-2022,M-v,3Ek,(60454),,2000 CH105,2460800.5,309.58743,292.10809,319.96725,1.16217,0.0830378,0.00335309,44.2085156,MPO901848,16,MPCLINUX,000A,2022-03-02,2475835.56412,293.9401416,40.5375377,47.8794935,21.9518428,1.0034137,Distant Object,,,,,,,1,0.9868532,0.013765292,0.070006385,0.0,0.013146797,0.013765298,0.9868532,0.013765292
73,7.38,0.15,96.0,0.38,5,2000-2020,M-v,3Ek,(60458),,2000 CM114,2460800.5,347.44921,251.21954,312.2822,19.68612,0.4029471,0.00215032,59.4475453,MPO914780,14,MPCORBFIT,000A,2020-02-18,2466637.26231,458.3538565,35.4933293,83.4017613,24.8976317,1.0021865,Distant Object,,,,,,,1,0.973305,0.02538766,0.12305887,0.0,0.026694981,0.02538766,0.973305,0.02538766
75,8.47,0.15,175.0,0.76,2,2000-2020,M-v,3Ek,(60608),,2000 EE173,2460800.5,19.12173,235.18615,293.9658,5.95838,0.5394715,0.00287962,48.9304114,MPO692633,15,Pan,000A,2020-06-23,2454160.08814,342.2695792,22.533849,75.3269738,17.3451091,1.0029302,Distant Object,,,,,,,1,0.9872057,0.013299534,0.068479225,0.0,0.0127942655,0.0132995285,0.9872057,0.013299534
76,6.63,0.15,225.0,1.02,3,2000-2025,M-v,3Ek,(60620),,2000 FD8,2460800.5,333.7142,81.6306,184.86332,19.52788,0.2172942,0.00343266,43.5226457,MPO914781,20,MPCORBFIT,000A,2025-05-02,2468458.19388,287.1262717,34.0654272,52.9798642,20.7338235,1.003495,Distant Object,,,,,,,1,0.99007654,0.007915883,0.05564957,0.0,0.009923473,0.007915879,0.99007654,0.007915883
77,6.86,0.15,164.0,1.11,2,2000-2022,M-v,3Ek,(60621),,2000 FE8,2460800.5,38.15415,142.58968,3.93439,5.87388,0.4023544,0.00241033,55.0915989,MPO901849,16,MPCLINUX,000A,2022-05-29,2444970.87298,408.9103144,32.9252517,77.2579461,23.0864358,1.0024515,Distant Object,,,,,,,1,0.9776369,0.020747708,0.10709864,0.0,0.0223631,0.02074771,0.9776369,0.020747708
79,12.43,0.15,537.0,0.49,2,2001-2004,M-v,3Ek,(65407),,2002 RP120,2460800.5,20.23859,357.94108,38.96619,119.44592,0.954112,0.00245325,54.4471339,MPO692724,4,Pan,000A,2004-06-22,2452550.62637,401.7561514,2.4984701,106.3957977,2.4411452,1.0024953,Distant Object,,,,,,,1,0.9925474,0.031092143,0.0439366,0.0,0.0074526286,0.031092143,0.9925474,0.031092143
80,6.47,0.15,218.0,0.88,1,1987-2025,M-v,3Ek,(65489),Ceto,2003 FX128,2460800.5,12.86104,319.35824,172.00319,22.30268,0.8231395,0.00098442,100.080313,E2025-L03,24,MPCLINUX,000A,2025-05-27,2447735.64831,1001.2049368,17.7002542,182.4603718,16.1350163,1.0009998,Distant Object,,,,,,,0,0.53595304,0.2693313,0.6905597,0.0,0.53595304,0.2693313,0.4640469,0.2693313
