name,a,e,i,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy,variation_ratio,prob_mean_c0,prob_std_c0,prob_mean_c1,prob_std_c1
41,33.2865622,0.3856793,14.23808,1,0.99287325,0.0053073936,0.042335134,0.0,0.0071267253,0.0053073936,0.99287325,0.0053073936
42,39.54887,0.2575725,3.03577,1,0.9896366,0.008205689,0.057665143,0.0,0.010363494,0.008205688,0.9896366,0.008205689
43,38.1294204,0.0471843,4.59595,1,0.99089545,0.006979616,0.051845424,0.0,0.009104642,0.0069796187,0.99089545,0.006979616
45,38.8630381,0.1571743,12.76528,1,0.99196017,0.0068416498,0.04678658,0.0,0.008039899,0.006841649,0.99196017,0.0068416498
46,55.1932798,0.4103062,13.15292,1,0.9791487,0.017129103,0.10133402,0.0,0.020851307,0.017129103,0.9791487,0.017129103
47,39.2003478,0.2724599,15.47616,1,0.9914853,0.0073595345,0.049059175,0.0,0.008514726,0.007359531,0.9914853,0.0073595345
48,48.4638204,0.2997516,24.84287,1,0.9862435,0.010349599,0.07262494,0.0,0.013756428,0.010349603,0.9862435,0.010349599
49,51.8410947,0.280431,0.75115,1,0.9798015,0.02237848,0.0988107,0.0,0.020198515,0.022378482,0.9798015,0.02237848
50,37.6440447,0.5359908,2.42878,1,0.9916205,0.00713823,0.04841475,0.0,0.0083794845,0.007138235,0.9916205,0.00713823
51,32.6926493,0.4615551,2.62008,1,0.9929341,0.0060839686,0.042034794,0.0,0.007065959,0.0060839755,0.9929341,0.0060839686
52,43.4663632,0.009426,1.179,1,0.98923767,0.0101512065,0.059476018,0.0,0.010762364,0.010151208,0.98923767,0.0101512065
53,39.7648056,0.2308144,8.40351,1,0.9915993,0.007702937,0.048515648,0.0,0.008400625,0.0077029387,0.9915993,0.007702937
54,39.1300189,0.2777692,10.82364,1,0.991002,0.0064529437,0.051344756,0.0,0.0089980075,0.00645294,0.991002,0.0064529437
55,52.9803769,0.2397009,0.24186,1,0.9772386,0.02959397,0.108599715,0.0,0.022761414,0.029593969,0.9772386,0.02959397
57,43.2705626,0.1072895,22.54322,1,0.98964006,0.008027252,0.05764901,0.0,0.010359931,0.008027264,0.98964006,0.008027252
58,43.1628743,0.0366422,7.99125,1,0.98821557,0.009517481,0.06404921,0.0,0.01178446,0.009517483,0.98821557,0.009517481
59,44.1995549,0.0569113,0.54456,1,0.98673964,0.015973203,0.070496164,0.0,0.013260325,0.015973201,0.98673964,0.015973203
62,43.8541199,0.0589449,0.36663,1,0.9853799,0.012827774,0.07628794,0.0,0.014620117,0.012827775,0.9853799,0.012827774
63,122.1407287,0.7654313,5.71872,0,0.8789144,0.18650727,0.36908248,0.0,0.8789144,0.18650727,0.12108569,0.18650727
65,47.2195337,0.1268259,24.34845,1,0.9861676,0.009794181,0.07294913,0.0,0.013832377,0.009794182,0.9861676,0.009794181
67,43.5303519,0.1217358,25.85428,1,0.98861015,0.0075317435,0.06229441,0.0,0.011389771,0.0075317463,0.98861015,0.0075317435
68,43.0047672,0.1462074,19.40084,1,0.9876911,0.008351648,0.06636024,0.0,0.012308857,0.0083516445,0.9876911,0.008351648
69,39.6328397,0.2929142,16.3245,1,0.99026704,0.0062819924,0.054770578,0.0,0.009732893,0.006281992,0.99026704,0.0062819924
70,45.1609121,0.1223477,2.89738,1,0.9861071,0.012501684,0.07320726,0.0,0.013892914,0.012501687,0.9861071,0.012501684
71,41.5190483,0.2105281,10.01912,1,0.9907539,0.0072285715,0.052508324,0.0,0.009246232,0.007228577,0.9907539,0.0072285715
72,44.2085156,0.0830378,1.16217,1,0.9868532,0.013765292,0.070006385,0.0,0.013146797,0.013765298,0.9868532,0.013765292
73,59.4475453,0.4029471,19.68612,1,0.973305,0.02538766,0.12305887,0.0,0.026694981,0.02538766,0.973305,0.02538766
75,48.9304114,0.5394715,5.95838,1,0.9872057,0.013299534,0.068479225,0.0,0.0127942655,0.0132995285,0.9872057,0.013299534
76,43.5226457,0.2172942,19.52788,1,0.99007654,0.007915883,0.05564957,0.0,0.009923473,0.007915879,0.99007654,0.007915883
77,55.0915989,0.4023544,5.87388,1,0.9776369,0.020747708,0.10709864,0.0,0.0223631,0.02074771,0.9776369,0.020747708
79,54.4471339,0.954112,119.44592,1,0.9925474,0.031092143,0.0439366,0.0,0.0074526286,0.031092143,0.9925474,0.031092143
80,100.080313,0.8231395,22.30268,0,0.53595304,0.2693313,0.6905597,0.0,0.53595304,0.2693313,0.4640469,0.2693313
81,45.0185882,0.0614541,2.66,1,0.9875783,0.01189012,0.0668543,0.0,0.012421629,0.01189012,0.9875783,0.01189012
82,43.8649234,0.0853296,0.56372,1,0.9883846,0.01455796,0.063298754,0.0,0.011615271,0.014557955,0.9883846,0.01455796
83,39.7324281,0.2278769,13.90862,1,0.99070716,0.0071710087,0.052726038,0.0,0.009292801,0.0071710055,0.99070716,0.0071710087
84,42.8208842,0.0230199,1.04779,1,0.9882881,0.011933013,0.063727416,0.0,0.011711843,0.011933015,0.9882881,0.011933013
85,55.6588092,0.4294281,9.44593,1,0.9762552,0.026537865,0.11227559,0.0,0.023744829,0.026537871,0.9762552,0.026537865
86,39.5272787,0.189297,6.56403,1,0.99101985,0.0072511523,0.051260717,0.0,0.008980124,0.0072511523,0.99101985,0.0072511523
87,31.0771763,0.567747,16.61585,1,0.993551,0.0051904367,0.038955607,0.0,0.00644895,0.0051904405,0.993551,0.0051904367
88,38.6701638,0.1203351,33.76262,1,0.9906856,0.006308984,0.052827097,0.0,0.00931447,0.0063089817,0.9906856,0.006308984
89,37.6831984,0.2439338,14.33072,1,0.99210393,0.0063171536,0.046092667,0.0,0.007896044,0.006317154,0.99210393,0.0063171536
90,43.9749949,0.0126922,2.23944,1,0.9863771,0.011915533,0.07205372,0.0,0.0136229135,0.01191553,0.9863771,0.011915533
91,34.8025339,0.0841695,3.17642,1,0.99172944,0.0061199586,0.047893897,0.0,0.008270522,0.0061199605,0.99172944,0.0061199586
92,54.0758837,0.2789895,18.73633,1,0.9798527,0.017093735,0.09861182,0.0,0.020147288,0.01709374,0.9798527,0.017093735
93,46.322322,0.142897,9.8146,1,0.9876772,0.009996367,0.066421025,0.0,0.012322715,0.009996368,0.9876772,0.009996367
94,42.2126297,0.0686494,3.75999,1,0.9893562,0.008267008,0.05893937,0.0,0.010643806,0.00826701,0.9893562,0.008267008
95,58.1389003,0.29332,19.78222,1,0.9736318,0.023946628,0.12188143,0.0,0.026368136,0.023946626,0.9736318,0.023946628
96,84.36888,0.6163722,12.72533,1,0.7318026,0.21280295,0.5814577,0.0,0.26819742,0.21280295,0.7318026,0.21280295
97,38.479579,0.0564681,5.36868,1,0.99103487,0.0072366316,0.05119008,0.0,0.00896511,0.0072366316,0.99103487,0.0072366316
98,211.745316,0.838519,30.8146,0,0.99660826,0.015253051,0.02267284,0.0,0.99660826,0.015253051,0.003391745,0.015253051
100,55.8647605,0.299435,34.9901,1,0.9761391,0.026123198,0.11270654,0.0,0.023860864,0.026123194,0.9761391,0.026123198
101,39.6876107,0.2623019,13.99421,1,0.99218404,0.0063442662,0.045705013,0.0,0.007815926,0.0063442676,0.99218404,0.0063442662
102,39.7162811,0.0819576,14.76595,1,0.99098414,0.0064237565,0.051428746,0.0,0.009015871,0.0064237546,0.99098414,0.0064237565
103,43.7792544,0.0845074,1.51642,1,0.98737615,0.0111562805,0.06773721,0.0,0.012623788,0.011156279,0.98737615,0.0111562805
104,43.5515424,0.0339375,1.19116,1,0.9870147,0.01096683,0.069307834,0.0,0.012985269,0.010966826,0.9870147,0.01096683
105,43.8607302,0.1678408,24.2602,1,0.9869273,0.008509573,0.06968622,0.0,0.013072704,0.008509572,0.9869273,0.008509573
106,45.5308214,0.2417417,22.17997,1,0.9886305,0.0085123945,0.06220384,0.0,0.011369494,0.008512393,0.9886305,0.0085123945
107,636.8525121,0.967264,20.05795,0,1.0,5.9305872e-08,1.2077294e-07,0.0,1.0,5.9305872e-08,6.401418e-09,6.369317e-08
108,34.9507631,0.5607108,6.78242,1,0.99297065,0.005453763,0.041853353,0.0,0.0070292563,0.005453762,0.99297065,0.005453763
109,42.7786265,0.0266022,0.49575,1,0.9859812,0.015725976,0.073743425,0.0,0.01401885,0.015725978,0.9859812,0.015725976
110,42.3108787,0.0149867,1.88952,1,0.9901945,0.0112423515,0.05510599,0.0,0.009805536,0.011242347,0.9901945,0.0112423515
112,44.1163078,0.0250624,2.5831,1,0.9860047,0.016486675,0.07364342,0.0,0.013995336,0.01648668,0.9860047,0.016486675
113,551.9180231,0.861824,11.92676,0,1.0,0.0,8.4366575e-10,0.0,1.0,0.0,3.5086815e-11,3.3796807e-10
114,39.2892348,0.2231412,20.55554,1,0.9915697,0.006292922,0.04865708,0.0,0.008430287,0.0062929285,0.9915697,0.006292922
115,41.772451,0.0750396,22.04346,1,0.98875666,0.009247974,0.06163989,0.0,0.011243372,0.009247985,0.98875666,0.009247974
116,39.195003,0.2252879,5.94793,1,0.991231,0.0071111294,0.05026485,0.0,0.008768941,0.00711113,0.991231,0.0071111294
117,39.5476269,0.1340857,10.58704,1,0.99102616,0.0062908023,0.051231172,0.0,0.008973853,0.0062908074,0.99102616,0.0062908023
118,102.5781973,0.6972678,25.50587,0,0.6147342,0.2771076,0.6665833,0.0,0.6147342,0.2771076,0.38526577,0.2771076
119,52.7226156,0.3728665,13.95131,1,0.9832989,0.013735241,0.084906474,0.0,0.016701112,0.013735239,0.9832989,0.013735241
121,39.7084872,0.1268253,14.65615,1,0.99070746,0.0069969175,0.052724384,0.0,0.009292431,0.0069969175,0.99070746,0.0069969175
122,43.5253064,0.1093449,5.06283,1,0.98739815,0.011115176,0.0676417,0.0,0.012601911,0.011115179,0.98739815,0.011115176
123,45.0819095,0.2343314,15.38482,1,0.987905,0.008895578,0.065420166,0.0,0.012094899,0.00889558,0.987905,0.008895578
124,43.6905299,0.2340401,11.22347,1,0.9892298,0.008716343,0.059511293,0.0,0.0107701495,0.008716348,0.9892298,0.008716343
125,99.1411756,0.6033213,23.36695,0,0.5923915,0.28431758,0.6759763,0.0,0.5923915,0.28431758,0.40760854,0.28431758
126,43.4743813,0.077018,6.74578,1,0.9884723,0.010246568,0.062909,0.0,0.011527652,0.010246568,0.9884723,0.010246568
127,43.3714373,0.1888902,7.21606,1,0.9898848,0.009913803,0.056530192,0.0,0.0101151895,0.009913806,0.9898848,0.009913803
128,54.7533768,0.35344,12.92488,1,0.97544146,0.026202405,0.11528538,0.0,0.02455849,0.02620241,0.97544146,0.026202405
129,38.9829557,0.2389953,2.36255,1,0.9902734,0.008924894,0.054741368,0.0,0.00972659,0.008924893,0.9902734,0.008924894
130,43.4590309,0.1714682,3.31712,1,0.985474,0.015597162,0.07589143,0.0,0.014526027,0.015597161,0.985474,0.015597162
132,40.0052726,0.2926044,3.66825,1,0.9900079,0.008779088,0.05596541,0.0,0.009992144,0.008779083,0.9900079,0.008779088
133,54.0101256,0.348485,15.71685,1,0.9843711,0.014359277,0.08050082,0.0,0.015628852,0.014359281,0.9843711,0.014359277
134,38.6245791,0.0454888,0.40626,1,0.9891194,0.011829211,0.06000983,0.0,0.0108805755,0.011829211,0.9891194,0.011829211
135,43.7430167,0.1705661,4.0493,1,0.9888523,0.009256327,0.061211314,0.0,0.011147737,0.009256325,0.9888523,0.009256327
137,48.2487301,0.2654221,9.16695,1,0.987423,0.010940169,0.067533,0.0,0.012576976,0.010940168,0.987423,0.010940169
139,49.2011748,0.2496701,11.77698,1,0.9845595,0.01318828,0.0797194,0.0,0.015440519,0.013188281,0.9845595,0.01318828
140,43.2326698,0.10327,27.1353,1,0.9897173,0.008959351,0.05729649,0.0,0.010282678,0.008959344,0.9897173,0.008959351
141,32.6023741,0.1779322,2.71893,1,0.99323153,0.0064130095,0.04055768,0.0,0.006768574,0.006413011,0.99323153,0.0064130095
142,39.1671946,0.3117742,29.30824,1,0.9916787,0.006693491,0.048136793,0.0,0.008321311,0.0066934903,0.9916787,0.006693491
143,42.175602,0.1023366,23.92716,1,0.98792213,0.009018204,0.06534493,0.0,0.01207782,0.009018199,0.98792213,0.009018204
144,39.1261084,0.0672467,24.83235,1,0.98981076,0.0070191007,0.056869127,0.0,0.010189188,0.007019097,0.98981076,0.0070191007
146,44.706429,0.0508894,1.96917,1,0.98706007,0.011437531,0.06911125,0.0,0.012939892,0.011437521,0.98706007,0.011437531
147,42.4830207,0.1442693,11.06342,1,0.98998034,0.007910471,0.056091864,0.0,0.010019663,0.007910473,0.98998034,0.007910471
148,39.681567,0.2973538,5.96913,1,0.99203676,0.0070517305,0.046417225,0.0,0.007963261,0.007051736,0.99203676,0.0070517305
149,71.1616278,0.4672576,15.9778,1,0.9220703,0.08201627,0.27368352,0.0,0.077929646,0.08201627,0.9220703,0.08201627
150,46.8663509,0.1895662,0.83991,1,0.9873286,0.011842514,0.06794478,0.0,0.012671444,0.011842517,0.9873286,0.011842514
151,66.6645298,0.6852991,77.94806,1,0.9773587,0.039567906,0.108147845,0.0,0.02264131,0.039567903,0.9773587,0.039567906
152,34.8633904,0.0870919,2.37445,1,0.99091476,0.006710053,0.051754624,0.0,0.009085273,0.006710061,0.99091476,0.006710053
153,39.0906372,0.2651312,1.47579,1,0.99007905,0.009129799,0.05563808,0.0,0.009920977,0.009129796,0.99007905,0.009129799
154,43.4811358,0.0307844,3.30746,1,0.98582566,0.012714726,0.07440395,0.0,0.014174335,0.012714729,0.98582566,0.012714726
155,47.1647701,0.276774,23.49088,1,0.98793024,0.00923653,0.06530928,0.0,0.012069726,0.0092365295,0.98793024,0.00923653
156,39.1824783,0.172786,13.70558,1,0.99202204,0.005995424,0.046488076,0.0,0.007977938,0.005995422,0.99202204,0.005995424
157,37.3385616,0.0558623,4.2576,1,0.9920229,0.006386254,0.0464841,0.0,0.007977118,0.006386256,0.9920229,0.006386254
158,53.1788405,0.325486,0.51578,1,0.9825884,0.020533139,0.087786876,0.0,0.0174116,0.020533144,0.9825884,0.020533139
159,35.0065488,0.0755393,2.85234,1,0.992661,0.0058986726,0.043380037,0.0,0.007339033,0.0058986703,0.992661,0.0058986726
160,39.3810114,0.2575696,8.89979,1,0.9901012,0.0071822377,0.05553583,0.0,0.009898761,0.007182238,0.9901012,0.0071822377
161,62.4049707,0.3961579,6.48541,1,0.95308965,0.0566927,0.18931541,0.0,0.046910334,0.056692697,0.95308965,0.0566927
162,39.3621667,0.2467311,17.17189,1,0.99114907,0.0072799716,0.050651938,0.0,0.0088508995,0.0072799735,0.99114907,0.0072799716
163,43.897264,0.1519666,10.19657,1,0.98911154,0.009328102,0.060045697,0.0,0.010888555,0.0093281055,0.98911154,0.009328102
164,42.9392052,0.0175484,1.11477,1,0.98933226,0.009677427,0.059047967,0.0,0.010667776,0.009677424,0.98933226,0.009677427
165,43.4558047,0.1108038,2.15515,1,0.98631966,0.013248287,0.072299175,0.0,0.013680225,0.013248289,0.98631966,0.013248287
166,37.2676642,0.016269,1.83182,1,0.9922684,0.0070351833,0.04529615,0.0,0.007731617,0.0070351833,0.9922684,0.0070351833
167,54.9317791,0.3475228,14.69908,1,0.9811901,0.01714299,0.09337032,0.0,0.018809797,0.017142987,0.9811901,0.01714299
168,43.7446917,0.1224125,5.45204,1,0.9882388,0.009883211,0.063945845,0.0,0.011761107,0.009883207,0.9882388,0.009883211
169,42.9611235,0.19703,28.20836,1,0.98839647,0.009315098,0.06324665,0.0,0.011603586,0.009315096,0.98839647,0.009315098
170,61.7075631,0.4750037,20.14019,1,0.96747214,0.03076706,0.14342214,0.0,0.03252778,0.030767065,0.96747214,0.03076706
171,68.05163,0.4356756,43.82172,1,0.94095063,0.061081115,0.22434385,0.0,0.059049413,0.061081123,0.94095063,0.061081115
173,45.449682,0.1619387,29.03386,1,0.9886854,0.00936971,0.061958216,0.0,0.011314511,0.009369714,0.9886854,0.00936971
174,45.0814126,0.1034761,1.34969,1,0.98593223,0.014968194,0.07395132,0.0,0.014067721,0.014968204,0.98593223,0.014968194
175,48.0235113,0.2986937,12.6808,1,0.9857384,0.010832413,0.07477396,0.0,0.014261633,0.010832414,0.9857384,0.010832413
176,46.7416286,0.1433158,4.88454,1,0.98806494,0.009277615,0.06471493,0.0,0.01193496,0.009277611,0.98806494,0.009277615
177,45.011871,0.2667539,15.70194,1,0.9910085,0.0070788423,0.051314197,0.0,0.008991509,0.0070788306,0.9910085,0.0070788423
178,39.6620025,0.1980613,6.48757,1,0.99144554,0.0072275526,0.04924805,0.0,0.008554438,0.0072275526,0.99144554,0.0072275526
179,36.7632708,0.2406704,5.89946,1,0.99146813,0.006286011,0.049140748,0.0,0.008531871,0.006286011,0.99146813,0.006286011
180,56.2140215,0.4212686,7.51913,1,0.9731371,0.034535747,0.12366234,0.0,0.026862955,0.03453575,0.9731371,0.034535747
181,42.551784,0.2576789,7.64255,1,0.9895755,0.008643015,0.057943102,0.0,0.010424477,0.008643013,0.9895755,0.008643015
182,44.8961013,0.1411724,19.35277,1,0.98824507,0.009254038,0.06391828,0.0,0.011754895,0.009254039,0.98824507,0.009254038
183,39.2620809,0.0388412,9.53127,1,0.9904644,0.006879492,0.05385647,0.0,0.009535589,0.006879492,0.9904644,0.006879492
185,92.4091498,0.619664,28.69757,1,0.6067557,0.24759977,0.6701772,0.0,0.39324433,0.24759977,0.6067557,0.24759977
186,41.6151074,0.0253099,19.251,1,0.98993766,0.007821836,0.056287773,0.0,0.010062333,0.007821833,0.98993766,0.007821836
187,43.5453736,0.1417662,28.4369,1,0.987324,0.009524923,0.06796474,0.0,0.012676025,0.009524923,0.987324,0.009524923
188,94.5642356,0.6501891,16.27027,1,0.5297854,0.27465415,0.6913718,0.0,0.47021455,0.27465415,0.5297854,0.27465415
189,76.1498372,0.3929331,26.45793,1,0.87300336,0.13632673,0.3806372,0.0,0.12699656,0.13632672,0.87300336,0.13632673
192,44.1687066,0.0372002,0.78705,1,0.9861101,0.012551996,0.07319454,0.0,0.013889929,0.012551996,0.9861101,0.012551996
193,227.3067221,0.8061542,22.72327,0,0.99884367,0.0072356216,0.008974757,0.0,0.99884367,0.0072356216,0.0011562274,0.007235623
194,44.5531766,0.057282,5.198,1,0.98579764,0.012072867,0.07452289,0.0,0.014202391,0.012072866,0.98579764,0.012072867
196,45.4144184,0.1239319,2.97717,1,0.9867332,0.010735158,0.07052409,0.0,0.013266819,0.010735169,0.9867332,0.010735158
197,42.6656508,0.2452384,7.05385,1,0.9902622,0.008926257,0.054793227,0.0,0.009737813,0.008926252,0.9902622,0.008926257
198,41.5973475,0.4752204,34.83043,1,0.990947,0.007097066,0.051602986,0.0,0.00905295,0.0070970682,0.990947,0.007097066
199,45.2105751,0.119151,10.20936,1,0.9883436,0.01003007,0.06348143,0.0,0.011656428,0.010030073,0.9883436,0.01003007
201,45.2443642,0.1070614,1.9854,1,0.9857925,0.016023073,0.074544266,0.0,0.014207405,0.01602307,0.9857925,0.016023073
202,43.4711576,0.0836192,2.64723,1,0.98770195,0.011754205,0.066312686,0.0,0.012298015,0.011754204,0.98770195,0.011754205
203,68.9681108,0.5018993,15.33831,1,0.93938667,0.057304505,0.22865164,0.0,0.060613237,0.057304505,0.93938667,0.057304505
204,43.1616661,0.0612379,4.90699,1,0.98776186,0.009240028,0.06605001,0.0,0.01223817,0.009240023,0.98776186,0.009240028
206,39.1474431,0.2276574,4.99175,1,0.9911436,0.0070855133,0.050677896,0.0,0.0088564055,0.007085516,0.9911436,0.0070855133
207,39.5944507,0.0708769,4.92127,1,0.9905726,0.008076554,0.05335387,0.0,0.009427497,0.008076552,0.9905726,0.008076554
208,39.0544062,0.1872038,5.64845,1,0.99108815,0.0071436465,0.050938733,0.0,0.008911703,0.0071436376,0.99108815,0.0071436465
209,45.5486509,0.1437227,21.51555,1,0.98802376,0.009856333,0.06489696,0.0,0.011976209,0.009856334,0.98802376,0.009856333
210,39.0311324,0.0657206,13.3583,1,0.99068236,0.0072096903,0.052841913,0.0,0.009317633,0.0072096875,0.99068236,0.0072096903
211,43.5216536,0.0439028,7.75802,1,0.989357,0.0085870335,0.058935784,0.0,0.01064301,0.008587037,0.989357,0.0085870335
212,46.3948841,0.189598,28.6426,1,0.9850966,0.012073563,0.07747817,0.0,0.014903457,0.012073569,0.9850966,0.012073563
213,52.9734471,0.2933002,5.47098,1,0.98038256,0.020264307,0.096546575,0.0,0.019617466,0.020264307,0.98038256,0.020264307
214,49.5803442,0.2911136,16.66161,1,0.98720473,0.010373792,0.0684836,0.0,0.012795287,0.010373795,0.98720473,0.010373792
215,43.7740823,0.0881372,0.80431,1,0.98858297,0.013293423,0.06241589,0.0,0.011417004,0.013293431,0.98858297,0.013293423
216,52.4607739,0.2565494,17.22719,1,0.98264986,0.011847384,0.08753905,0.0,0.01735019,0.011847387,0.98264986,0.011847384
217,124.6779236,0.6974397,25.88077,0,0.8517693,0.19206686,0.4196277,0.0,0.8517693,0.19206686,0.14823066,0.19206686
218,43.9350071,0.0985652,6.10234,1,0.9879866,0.010733712,0.06506096,0.0,0.012013397,0.010733715,0.9879866,0.010733712
219,59.0668147,0.3874844,19.84395,1,0.96723336,0.031771123,0.14423132,0.0,0.03276656,0.03177112,0.96723336,0.031771123
220,44.7375626,0.1579959,10.67042,1,0.9878055,0.009890409,0.06585821,0.0,0.0121944975,0.009890401,0.9878055,0.009890409
221,51.6917944,0.2313219,17.04979,1,0.98256403,0.013793933,0.087885156,0.0,0.017435974,0.0137939295,0.98256403,0.013793933
222,45.630153,0.1437732,2.19695,1,0.98458964,0.015102708,0.07959403,0.0,0.015410354,0.0151027115,0.98458964,0.015102708
223,50.1416458,0.2362296,1.05394,1,0.98221415,0.017950471,0.08929241,0.0,0.017785924,0.017950468,0.98221415,0.017950471
224,44.0271945,0.1105991,11.64834,1,0.98834014,0.0091976095,0.06349679,0.0,0.01165989,0.009197608,0.98834014,0.0091976095
225,44.8962593,0.1069366,1.65355,1,0.9865789,0.014432146,0.07118803,0.0,0.013421098,0.014432152,0.9865789,0.014432146
226,44.2331329,0.0988821,2.44484,1,0.98779434,0.012896686,0.06590724,0.0,0.01220566,0.012896684,0.98779434,0.012896686
227,53.0520376,0.3834122,11.30394,1,0.9816916,0.01585162,0.09138076,0.0,0.018308448,0.015851624,0.9816916,0.01585162
228,109.5662021,0.6770065,15.42819,0,0.69595903,0.25350678,0.61424947,0.0,0.69595903,0.25350678,0.304041,0.25350678
229,44.9145472,0.1356117,5.77207,1,0.98848915,0.011693723,0.06283376,0.0,0.011510743,0.011693724,0.98848915,0.011693723
231,43.5774477,0.1441167,25.7164,1,0.98862076,0.009255501,0.06224685,0.0,0.011379102,0.0092555,0.98862076,0.009255501
232,39.5852395,0.1750926,13.54374,1,0.9905992,0.007033929,0.053229637,0.0,0.0094008045,0.0070339306,0.9905992,0.007033929
233,66.9464643,0.5019951,30.82492,1,0.9566805,0.041955724,0.17835417,0.0,0.04331963,0.04195572,0.9566805,0.041955724
234,74.5827723,0.495865,23.33891,1,0.90347517,0.090238184,0.31737953,0.0,0.096524894,0.090238184,0.90347517,0.090238184
235,47.4812976,0.2530119,38.09353,1,0.98472273,0.010993026,0.07903984,0.0,0.015277163,0.010993021,0.98472273,0.010993026
236,40.1569836,0.7758516,15.67963,1,0.99166304,0.0061600967,0.048211604,0.0,0.0083369585,0.0061600995,0.99166304,0.0061600967
239,43.8668193,0.0802737,1.54797,1,0.98801285,0.01476041,0.0649449,0.0,0.01198706,0.01476041,0.98801285,0.01476041
240,47.7051004,0.1549803,12.09006,1,0.9884926,0.009929464,0.062818654,0.0,0.011507368,0.009929463,0.9884926,0.009929464
242,44.2928538,0.1023477,1.3436,1,0.98720086,0.011620711,0.06850025,0.0,0.012799106,0.011620711,0.98720086,0.011620711
