Name,a,e,i,predicted_class,mean_prob,std_prob,entropy
,359.9593698,0.9107104,15.81892,0,0.5,1.0656422e-11,1.4152325e-10
,1255.873676,0.9932958,98.56092,0,0.5,0.0,-0.0
,103.7524641,0.6647619,12.72472,0,0.5,0.22239013,0.6897799
,502.0988064,0.9082523,12.39083,0,0.5,3.4945877000000004e-16,2.7099436e-15
,332.6299937,0.8852223,6.49973,0,0.5,2.1020247e-08,4.5420762e-08
,460.6850105,0.967108,147.34483,0,0.5,3.4603192e-17,5.4969744e-16
,493.4183991,0.9283671,54.09199,0,0.5,1.6472611e-15,7.715923e-15
,178.7660331,0.7763011,21.37882,0,0.5,0.0009062785,0.003210287
,429.8306087,0.9616544,169.2613,0,0.5,3.8585905e-14,2.588045e-13
,274.7733152,0.9906692,29.74705,0,0.5,1.011187e-07,4.5324543e-07
,707.3490953,0.9961956,58.11483,0,0.5,0.0,3.235713e-23
,156.4960029,0.7503496,20.45137,0,0.5,0.03470874,0.043328945
,928.3763121,0.9955405,112.70883,0,0.5,0.0,3.3352827e-34
,414.1267199,0.9936477,76.87702,0,0.5,6.270435e-13,3.1541271e-12
,133.1238166,0.7019793,26.43984,0,0.5,0.05181639,0.16475944
,446.3082936,0.9862395,143.89804,0,0.5,6.875098e-15,3.3649936e-14
,352.5398554,0.8626903,21.54844,0,0.5,4.963961e-11,6.388737e-10
,277.1171736,0.9888216,110.0788,0,0.5,3.5527466e-07,7.5056545e-07
,102.3496609,0.6415139,19.45432,0,0.5,0.2323803,0.69000465
,172.40963,0.8947367,10.75708,0,0.5,0.0018389232,0.008665209
,271.4867256,0.7030436,23.99696,0,0.5,8.2213603e-07,1.7141953e-06
,406.2800248,0.98061,16.54021,0,0.5,4.2575462e-13,3.8169186e-12
,283.1251426,0.846301,17.41277,0,0.5,1.2518973e-07,3.925351e-07
,538.9655287,0.956351,32.10285,0,0.5,2.6073987e-19,2.2893834e-18
